#Cadastro
1;Sam;17/04/2002;170
null;user;senha
null;user;senha
null;user;senha
null;usuario;senha
null;user;senha
null;usuario;senha
null;user;senha
null;user;senha
null;user;senha
null;user;senha
null;user;senha
joaoc;joao caram;1234
123;diogo;123
diogo;diogo;123
diogo;diogo;123
13;dio;13
123;DIOGO;123
123;DIOGO;123
bruno;bruno;123
bruno;bruno;123
bruno;bruno;123
bruno;bruno;123
bruno;bruno;123
bruno;bruno;123
bruno;bruno;bruno
bruno;bruno;bruno
bruno;bruno;bruno
bruno;bruno;bruno
aa;aa;aa
aa;aa;aa
edubrito;Eduardo Brito;123123
edubrito;Eduardo Brito;123123
